_id|title|directors|year
1|The Rules of the Game|Jean Renoir|1939
2|Tokyo Story|Yasujiro Ozu|1953
3|City Lights|Charles Chaplin|1931
4|Pickpocket|Robert Bresson|1959
5|Metropolis|Fritz Lang|1927
6|Citizen Kane|Orson Welles|1941
7|Orphée|Jean Cocteau|1950
8|Masculin Féminin|Jean-Luc Godard|1966
9|Persona|Ingmar Bergman|1966
10|Vertigo|Alfred Hitchcock|1958
11|Sunrise|F. W. Murnau|1927
12|The Searchers|John Ford|1956
13|The Lady Eve|Preston Sturges|1941
14|The Conformist|Bernardo Bertolucci|1970
15|8 ½|Federico Fellini|1963
16|The Godfather|Francis Coppola|1972
17|In the Mood for Love|Wong Kar Wai|2000
18|The Third Man|Carol Reed|1949
19|Performance|Donald Cammell,Nicolas Roeg|1970
20|La Notte|Michelangelo Antonioni|1961
21|Mother and Son|Alexander Sokurov|1997
22|The Leopard|Luchino Visconti|1963
23|The Dead|John Huston|1987
24|2001: A Space Odyssey|Stanley Kubrick|1968
25|Last Year at Marienbad|Alain Resnais|1961
26|The Passion of Joan of Arc|Carl Dreyer|1928
27|Jules and Jim|François Truffaut|1962
28|The Wild Bunch|Sam Peckinpah|1969
29|All That Jazz|Bob Fosse|1979
30|The Life of Oharu|Kenji Mizoguchi|1952
31|High and Low|Akira Kurosawa|1963
32|Sweet Smell of Success|Alexander Mackendrick|1957
33|That Obscure Object of Desire|Luis Buñuel|1977
34|An American in Paris|Vincente Minnelli|1951
35|Voyage to Italy|Roberto Rossellini|1954
36|Taxi Driver|Martin Scorsese|1976
37|Ali: Fear Eats the Soul|Rainer Werner Fassbinder|1974
38|Blue Velvet|David Lynch|1986
39|Crimes and Misdemeanors|Woody Allen|1989
40|The Big Lebowski|Joel Coen|1998
41|The Red Shoes|Michael Powell,Emeric Pressburger|1948
42|Singin’ in the Rain|Stanley Donen,Gene Kelly|1952
43|Chinatown|Roman Polanski|1974
44|The Crowd|King Vidor|1928
45|Sunset Boulevard|Billy Wilder|1950
46|Talk to Her|Pedro Almodóvar|2002
47|Shanghai Express|Josef von Sternberg|1932
48|Letter from an Unknown Woman|Max Ophüls|1948
49|Once Upon a Time in the West|Sergio Leone|1968
50|Salvatore Giuliano|Francesco Rosi|1962
51|Nostalghia|Andrei Tarkovsky|1983
52|Seven Men From Now|Budd Boetticher|1956
53|Claire’s Knee|Eric Rohmer|1970
54|Earth|Alexander Dovzhenko|1930
55|Gun Crazy|Joseph H. Lewis|1950
56|Out of the Past|Jacques Tourneur|1947
57|Children of Paradise|Marcel Carné|1945
58|The Naked Spur|Anthony Mann|1953
59|A Place in the Sun|George Stevens|1951
60|The General|Buster Keaton|1926
61|A Fool and His Money|Alice Guy-Blaché|1912
62|Where Are My Children?|Lois Weber|1916
63|Remodeling Her Husband|Lillian Gish|1920
64|The Love Light|Frances Marion|1921
65|The Grub Stake|Nell Shipman|1923
66|Linda|Dorothy Davenport|1929
67|Working Girls|Dorothy Arzner|1931
68|The Bigamist|Ida Lupino|1953
69|The Connection|Shirley Clarke|1961
70|Stranded|Juleen Compton|1965
71|Wanda|Barbara Loden|1970
72|Bury Me an Angel|Barbara Peeters|1971
73|Group Marriage|Stephanie Rothman|1972
74|Mikey and Nicky|Elaine May|1976
75|Property|Penny Allen|1978
76|Girlfriends|Claudia Weill|1978
77|Old Boyfriends|Joan Tewkesbury|1979
78|Fatso|Anne Bancroft|1980
79|Tell Me a Riddle|Lee Grant|1980
80|Will|Jessie Maple|1981
81|Losing Ground|Kathleen Collins|1982
82|Born in Flames|Lizzie Borden|1983
83|Testament|Lynne Littman|1983
84|Suburbia|Penelope Spheeris|1984
85|Secret Places|Zelda Barron|1984
86|Smooth Talk|Joyce Chopra|1985
87|Desert Hearts|Donna Deitch|1985
88|Children of a Lesser God|Randa Haines|1986
89|Ratboy|Sondra Locke|1986
90|The Ladies Club|Janet Greek|1986
91|Lady Beware|Karen Arthur|1987
92|Siesta|Mary Lambert|1987
93|Permanent Record|Marisa Silver|1988
94|Zelly and Me|Tina Rathborne|1988
95|A Dry White Season|Euzhan Palcy|1989
96|The End of Innocence|Dyan Cannon|1990
97|The Prince of Tides|Barbra Streisand|1991
98|Daughters of the Dust|Julie Dash|1991
99|Dogfight|Nancy Savoca|1991
100|Gas Food Lodging|Allison Anders|1992
101|Down in the Delta|Maya Angelou|1998
102|High Art|Lisa Cholodenko|1998
103|Drylongso|Cauleen Smith|1998
104|The Savages|Tamara Jenkins|2007
105|The Hurt Locker|Kathryn Bigelow|2008
106|Handsome Harry|Bette Gordon|2009
